연번,읍면,경로당명,경로당 주소,데이터기준일
242,이원면,현남,충청북도 옥천군 이원면 이원4길 11,2022-06-15
243,이원면,현리,충청북도 옥천군 이원면 이원3길 42,2022-06-15
244,이원면,두암,충청북도 옥천군 이원면 이원2길 31,2022-06-15
245,이원면,원동1,충청북도 옥천군 이원면 원동1길 10,2022-06-15
246,이원면,원동2,충청북도 옥천군 이원면 원동3길 37,2022-06-15
247,이원면,흔업,충청북도 옥천군 이원면 백지1길 31,2022-06-15
248,이원면,오룡골,충청북도 옥천군 이원면 백지2길 51,2022-06-15
249,이원면,사당골,충청북도 옥천군 이원면 백지3길 44-3,2022-06-15
250,이원면,지탄,충청북도 옥천군 이원면 지탄길 97,2022-06-15
251,이원면,포동,충청북도 옥천군 이원면 지탄6길 6,2022-06-15
252,이원면,구룡,충청북도 옥천군 이원면 용방3길 92,2022-06-15
253,이원면,칠방,충청북도 옥천군 이원면 용방2길 39,2022-06-15
254,이원면,대흥,충청북도 옥천군 이원면 대흥3길 1-5,2022-06-15
255,이원면,신흥1마을회관,충청북도 옥천군 이원면 이원역길 28,2022-06-15
256,이원면,신흥1날망,충청북도 옥천군 이원면 이원역길 1-7,2022-06-15
257,이원면,신흥2,충청북도 옥천군 이원면 신흥3길 22,2022-06-15
258,이원면,지탄삼정골,충청북도 옥천군 이원면 지탄길 155,2022-06-15
259,이원면,수묵말,충청북도 옥천군 이원면 윤정3길 11,2022-06-15
260,군서면,동산,충청북도 옥천군 군서면 동평1길 7,2022-06-15
261,군서면,동산여자,충청북도 옥천군 군서면 동평1길 20,2022-06-15
262,군서면,평곡,충청북도 옥천군 군서면 동평4길 9-8,2022-06-15
263,군서면,증산,충청북도 옥천군 군서면 금산1길 20-3,2022-06-15
264,군서면,금천,충청북도 옥천군 군서면 금산3길 23,2022-06-15
265,군서면,사정,충청북도 옥천군 군서면 사정4길 3,2022-06-15
266,군서면,향정,충청북도 옥천군 군서면 사정1길 18-5,2022-06-15
267,군서면,상지,충청북도 옥천군 군서면 상지1길 8-4,2022-06-15
268,군서면,은행,충청북도 옥천군 군서면 은행1길 23-6,2022-06-15
269,군서면,상은,충청북도 옥천군 군서면 은행3길 45,2022-06-15
270,군서면,사양,충청북도 옥천군 군서면 사양2길 4,2022-06-15
271,군서면,상중,충청북도 옥천군 군서면 상중길 92,2022-06-15
272,군서면,신대,충청북도 옥천군 군서면 상중1길 17,2022-06-15
273,군서면,하동,충청북도 옥천군 군서면 하동2길 11,2022-06-15
274,군서면,마고실,충청북도 옥천군 군서면 하동2길 99,2022-06-15
275,군서면,오동1,충청북도 옥천군 군서면 오동2길 172,2022-06-15
276,군서면,오동2,충청북도 옥천군 군서면 성왕로 760,2022-06-15
277,군서면,월전,충청북도 옥천군 군서면 월전2길 85,2022-06-15
278,군서면,안동오리,충청북도 옥천군 군서면 상중길 209,2022-06-15
279,군서면,서성골,충청북도 옥천군 군서면 사양1길 143,2022-06-15
280,군서면,지경소,충청북도 옥천군 군서면 상지2길 127,2022-06-15
281,군북면,이백1,충청북도 옥천군 군북면 이백3길15-7,2022-06-15
282,군북면,이백2,충청북도 옥천군 군북면 이백1길 3-18,2022-06-15
283,군북면,자모,충청북도 옥천군 군북면 자모2길 20-1,2022-06-15
284,군북면,윗자모리,충청북도 옥천군 군북면 자모길 186-1,2022-06-15
285,군북면,증약,충청북도 옥천군 군북면 증약1길 10-7,2022-06-15
286,군북면,감로,충청북도 옥천군 군북면 감로길 30,2022-06-15
287,군북면,비야,충청북도 옥천군 군북면 비야대정로2길 38,2022-06-15
288,군북면,항곡,충청북도 옥천군 군북면 항곡길22,2022-06-15
289,군북면,대촌,충청북도 옥천군 군북면 방아실길 73,2022-06-15
290,군북면,방아실,충청북도 옥천군 군북면 방아실길 125-10,2022-06-15
291,군북면,대정(1반),충청북도 옥천군 군북면 대정2길 18,2022-06-15
292,군북면,자고티(2반),충청북도 옥천군 군북면 방아실길 3-6,2022-06-15
293,군북면,와정(3반),충청북도 옥천군 군북면 비야대정로 739,2022-06-15
294,군북면,와정4반,충청북도 옥천군 군북면 비야대정로 691-2,
295,군북면,환평,충청북도 옥천군 군북면 환산로 307-3,2022-06-15
296,군북면,추소,충청북도 옥천군 군북면 추소길 28,2022-06-15
297,군북면,용목,충청북도 옥천군 군북면 지오2길 23,2022-06-15
298,군북면,보오,충청북도 옥천군 군북면 지오3길 18-3,2022-06-15
299,군북면,이평,충청북도 옥천군 군북면 이평1길 327,2022-06-15
300,군북면,이평2,충청북도 옥천군 군북면 이평2길 92,2022-06-15
301,군북면,석호,충청북도 옥천군 군북면 석호1길 74,2022-06-15
302,군북면,진걸,충청북도 옥천군 군북면 석호길 419,2022-06-15
303,군북면,늘티,충청북도 옥천군 군북면 국원1길 11,2022-06-15
304,군북면,국원(새말),충청북도 옥천군 군북면 국원2길 1,2022-06-15
305,군북면,안말(국원),충청북도 옥천군 군북면 국원3길 45-2,2022-06-15
306,군북면,소정,충청북도 옥천군 군북면 소정2길 1,2022-06-15
307,군북면,안말,충청북도 옥천군 군북면 성왕로 1900,2022-06-15
308,군북면,막지,충청북도 옥천군 군북면 답양막지길 404,2022-06-15
309,군북면,장고개,충청북도 옥천군 군북면 답양막지길 205,2022-06-15
