시도코드,시도명,시군구코드,시군구명,읍면동코드,읍면동명,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
44,충청남도,44180,충청남도 보령시,3403056,대천5동,2013,-31.80849871,2,-5.027422303,1,29.63644731
44,충청남도,44200,충청남도 아산시,3404011,염치읍,2013,-11.48200758,1,-1.714285714,1,46.50241971
44,충청남도,44200,충청남도 아산시,3404012,배방읍,2013,143.7939631,0,9.442653155,0,34.92855523
47,경상북도,47150,경상북도 김천시,3703037,대항면,2013,-44.48056746,2,-4.977375566,3,27.47252747
47,경상북도,47730,경상북도 의성군,3732032,점곡면,2013,-71.13717491,4,-17.34693878,3,69.2620176
47,경상북도,47730,경상북도 의성군,3732033,옥산면,2013,-70.39805037,5,-17.39130435,5,66.52142338
47,경상북도,47730,경상북도 의성군,3732034,사곡면,2013,-72.92954265,5,-25,2,67.85459729
47,경상북도,47730,경상북도 의성군,3732035,춘산면,2013,-64.25531915,4,-26.38888889,2,66.58291457
47,경상북도,47730,경상북도 의성군,3732036,가음면,2013,-70.13094991,3,-34.09090909,2,63.46153846
47,경상북도,47730,경상북도 의성군,3732037,금성면,2013,-65.43078808,5,-16.52421652,2,65.96728307
47,경상북도,47730,경상북도 의성군,3732038,봉양면,2013,-61.83973748,5,-18.75,3,62.94256491
47,경상북도,47730,경상북도 의성군,3732039,비안면,2013,-73.83966245,3,-27.67857143,1,66.0203587
47,경상북도,47730,경상북도 의성군,3732040,구천면,2013,-67.60511206,5,-24.32432432,2,61.63328197
47,경상북도,47730,경상북도 의성군,3732041,단밀면,2013,-70.155902,3,-18.26086957,1,67.80122532
47,경상북도,47730,경상북도 의성군,3732042,단북면,2013,-73.33235381,5,-21.42857143,3,71.9668425
47,경상북도,47730,경상북도 의성군,3732043,안계면,2013,-59.00176678,5,-14.99227202,1,66.90647482
47,경상북도,47730,경상북도 의성군,3732044,다인면,2013,-68.56049005,5,-33.00330033,2,69.34087883
