번호,용도,단지명,소재지,법정동,동수,층수,세대수,데이터기준일
81,다세대주택,"삼영주택 101, 102동",충청북도 옥천군 옥천읍 가화3길 23 ,옥천읍,2,4,16,2022-09-16
82,다세대주택,삼영주택 104동,충청북도 옥천군 옥천읍 가화3길 23 ,옥천읍,1,4,8,2022-09-16
83,다세대주택,삼영주택 103동,충청북도 옥천군 옥천읍 가화3길 23 ,옥천읍,1,4,8,2022-09-16
84,다세대주택,삼미빌라 나,충청북도 옥천군 옥천읍 가화1길 5 ,옥천읍,1,3,9,2022-09-16
85,다세대주택,한양로얄 나동,충청북도 옥천군 옥천읍 삼양로2길 7 ,옥천읍,1,4,8,2022-09-16
86,다세대주택,한양로얄 가동,충청북도 옥천군 옥천읍 삼양로2길 7 ,옥천읍,1,4,8,2022-09-16
87,다세대주택,다익빌라 ,충청북도 옥천군 옥천읍 삼양로5길 19 ,옥천읍,1,4,8,2022-09-16
88,다세대주택,"다익빌라 가, 나동",충청북도 옥천군 옥천읍 삼양로5길 19 ,옥천읍,2,4,16,2022-09-16
89,다세대주택,"다익빌라 가, 나동",충청북도 옥천군 옥천읍 삼양로5길 19 ,옥천읍,2,4,16,2022-09-16
90,다세대주택,성진빌라 다동,충청북도 옥천군 옥천읍 삼양로6길 5 ,옥천읍,1,4,7,2022-09-16
91,다세대주택,성진빌라 나동,충청북도 옥천군 옥천읍 삼양로6길 5 ,옥천읍,1,4,6,2022-09-16
92,다세대주택,성진빌라 다동,충청북도 옥천군 옥천읍 삼양로6길 5 ,옥천읍,1,4,6,2022-09-16
93,다세대주택,"천일주택 A, B동",충청북도 옥천군 옥천읍 양수로 56 ,옥천읍,2,4,16,2022-09-16
94,다세대주택,세림빌라,충청북도 옥천군 옥천읍 향수7길 12 ,옥천읍,1,4,8,2022-09-16
95,아파트,"청솔아파트 1, 2, 3동",충청북도 옥천군 옥천읍 성암응천길 41-10 ,옥천읍,3,5,102,2022-09-16
96,다세대주택,대성빌라 다동,충청북도 옥천군 옥천읍 신기4길 18 ,옥천읍,1,4,8,2022-09-16
97,다세대주택,"삼영주택 105, 106동",충청북도 옥천군 옥천읍 가화3길 23 ,옥천읍,2,4,14,2022-09-16
98,다세대주택,삼영주택 107동,충청북도 옥천군 옥천읍 가화3길 23 ,옥천읍,1,4,7,2022-09-16
99,다세대주택,삼영주택 108동,충청북도 옥천군 옥천읍 가화3길 23 ,옥천읍,1,4,8,2022-09-16
