연번,읍면,경로당명,경로당 주소,Latitude,Longitude,데이터기준일
285,군북면,증약,충청북도 옥천군 군북면 증약1길 10-7,36.3386787,127.5161577,2022-06-15
286,군북면,감로,충청북도 옥천군 군북면 감로길 30,36.3476882,127.5270248,2022-06-15
287,군북면,비야,충청북도 옥천군 군북면 비야대정로2길 38,36.3558529,127.528563,2022-06-15
288,군북면,항곡,충청북도 옥천군 군북면 항곡길22,36.3735061,127.5319499,2022-06-15
289,군북면,대촌,충청북도 옥천군 군북면 방아실길 73,36.3910637,127.5439198,2022-06-15
290,군북면,방아실,충청북도 옥천군 군북면 방아실길 125-10,36.3904077,127.5472357,2022-06-15
291,군북면,대정(1반),충청북도 옥천군 군북면 대정2길 18,36.3894545,127.5306391,2022-06-15
292,군북면,자고티(2반),충청북도 옥천군 군북면 방아실길 3-6,36.3886722,127.5380363,2022-06-15
293,군북면,와정(3반),충청북도 옥천군 군북면 비야대정로 739,36.3848894,127.5409471,2022-06-15
294,군북면,와정4반,충청북도 옥천군 군북면 비야대정로 691-2,36.3822046,127.5382393,
295,군북면,환평,충청북도 옥천군 군북면 환산로 307-3,36.3421221,127.5510559,2022-06-15
296,군북면,추소,충청북도 옥천군 군북면 추소길 28,36.348032,127.5578735,2022-06-15
297,군북면,용목,충청북도 옥천군 군북면 지오2길 23,36.3287713,127.5654902,2022-06-15
298,군북면,보오,충청북도 옥천군 군북면 지오3길 18-3,36.3382456,127.5737468,2022-06-15
299,군북면,이평,충청북도 옥천군 군북면 이평1길 327,36.3543079,127.5740444,2022-06-15
300,군북면,이평2,충청북도 옥천군 군북면 이평2길 92,36.3821167,127.5581306,2022-06-15
301,군북면,석호,충청북도 옥천군 군북면 석호1길 74,36.3609318,127.5819683,2022-06-15
302,군북면,진걸,충청북도 옥천군 군북면 석호길 419,36.3782668,127.5940269,2022-06-15
303,군북면,늘티,충청북도 옥천군 군북면 국원1길 11,36.3396235,127.5894681,2022-06-15
304,군북면,국원(새말),충청북도 옥천군 군북면 국원2길 1,36.3504556,127.5909796,2022-06-15
305,군북면,안말(국원),충청북도 옥천군 군북면 국원3길 45-2,36.3509426,127.5857661,2022-06-15
306,군북면,소정,충청북도 옥천군 군북면 소정2길 1,36.3557803,127.5964611,2022-06-15
307,군북면,안말,충청북도 옥천군 군북면 성왕로 1900,36.3618522,127.6050749,2022-06-15
308,군북면,막지,충청북도 옥천군 군북면 답양막지길 404,36.3749814,127.6068513,2022-06-15
309,군북면,장고개,충청북도 옥천군 군북면 답양막지길 205,36.3826139,127.6019322,2022-06-15
